metro,chas,dva_chasa,noch,ves,rost,vozrast,razmer,vpopu
Войковская,2000,4000,10000,65,166,33,4,0
Коптево,2500,5000,10000,64,167,42,3,0
Чистые пруды,11000,21000,-,n/a,172,19,2,1
Октябрьское поле,3000,6000,16000,49,166,31,2,2000
Киевская,7000,14000,35000,54,172,20,3,0
Киевская,5000,10000,25000,52,174,27,2,0
Щёлково,3000,6000,20000,50,165,19,2,0
Братиславская,5000,9000,-,75,170,34,4,3000
Академическая,20000,40000,-,46,168,20,1,1
Рязанский проспект,5000,-,30000,40,151,20,1,0
Подольск,3500,7000,16000,59,167,26,4,3000
Коломенская,2000,4000,10000,65,163,57,3,0
Люберцы,3000,6000,15000,61,168,40,3,3000
Полежаевская,3000,-,-,49,160,18,2,0
Люберцы,3000,6000,15000,51,172,26,2,3000
Митино,-,8000,20000,50,165,28,3,0
Люберцы,3000,6000,15000,56,167,33,2,3000
Лермонтовский проспект,3000,6000,15000,60,162,35,4,2000
Люберцы,3000,6000,15000,60,168,26,2,3000
Домодедовская,2500,5000,-,n/a,165,45,2,1
Пушкино,4000,7000,12000,60,165,30,3,0
Академическая,6000,12000,30000,57,175,21,2,5000
Профсоюзная,5000,10000,30000,39,153,20,1,5000
Подольск,3000,6000,-,59,169,25,3,1
Преображенская площадь,4000,8000,16000,50,170,25,2,0
Электросталь,2500,5000,-,52,166,27,1,0
Красные ворота,4000,8000,20000,n/a,160,40,3,0
Славянский бульвар,4000,-,-,57,172,29,2,2000
Люберцы,4000,8000,25000,55,162,34,2,0
Юго-Западная,-,8000,10000,49,160,25,3,2000
Автозаводская,3500,7000,-,43,160,25,2,0
Проспект Вернадского,3000,6000,15000,51,170,23,1,0
Улица Старокачаловская,3000,6000,-,55,165,30,2,0
Марксистская,3500,7000,25000,60,165,28,2,3000
Медведково,1500,3000,12000,62,160,23,2,0
Беговая,4000,10000,-,65,165,39,3,0
Университет,2300,4600,10000,60,167,37,3,0
Динамо,3000,6000,12000,70,170,32,3,1
Щелковская,2000,4000,12000,70,171,51,3,1000
Кунцевская,5000,10000,30000,55,165,27,2,0
Войковская,2500,-,-,44,165,25,1,0
Тушинская,2500,5000,-,55,169,28,2,0
Пролетарская,6000,10000,-,70,178,37,2,1
Марьино,3500,7000,20000,50,175,31,3,0
Подольск,3000,6000,-,50,170,37,2,1
Мытищи,4000,8000,20000,53,170,24,2,0
Багратионовская,3500,7000,15000,60,175,28,4,0
Улица Ак. Янгеля,2500,5000,12000,85,170,48,6,0
Студенческая,3000,5000,10000,50,165,38,2,1
Балашиха,4000,8000,16000,62,168,34,2,0
Одинцово,7000,12000,25000,49,170,19,1,20000
Раменское,3000,6000,-,67,164,42,3,0
Подольск,1500,-,-,55,163,35,3,0
Молодежная,2500,5000,15000,58,168,25,3,4000
Медведково,3500,7000,16000,50,168,20,4,0
Кутузовская,6000,14000,25000,50,160,27,3,1
Люблино,4000,8000,20000,52,165,24,2,0
Беговая,4000,8000,-,51,165,28,1,0
Крылатское,2000,4000,15000,45,153,21,2,0
Борисово,4000,10000,20000,55,165,23,2,0
Люблино,5000,10000,25000,50,165,23,2,0
Беляево,2000,4000,12000,54,169,36,4,0
Марьино,4000,8000,20000,50,175,27,2,0
ВДНХ,5000,10000,25000,52,175,19,3,0
Подольск,-,7000,12000,46,160,26,2,0
Алексеевская,3500,7000,15000,50,165,28,2,0
Бабушкинская,4000,8000,-,49,156,30,1,2000
Октябрьское поле,3000,5000,15000,45,147,36,3,0
Измайловская,3000,5000,10000,50,170,37,1,0
Октябрьское поле,3000,6000,16500,45,162,38,2,1
Славянский бульвар,8000,12000,30000,62,172,40,2,0
Домодедовская,5000,8000,20000,65,170,35,2,1
Таганская,6000,12000,30000,53,165,29,2,1
Бабушкинская,2500,5000,10000,85,170,45,4,0
Кантемировская,2000,4000,12000,95,185,31,4,1500
Проспект Мира,10000,16000,-,48,172,21,2,0
Мытищи,3000,6000,15000,50,165,24,2,4000
Речной вокзал,3000,-,-,63,165,38,4,0
Московский,2000,4000,10000,80,165,30,6,0
Алтуфьево,3000,6000,15000,80,170,35,4,0
Белорусская,2500,5000,12000,65,165,32,4,1
Проспект Мира,4000,8000,-,55,160,18,2,2000
Пушкино,3000,6000,15000,57,168,24,2,0
Варшавская,-,5000,10000,57,160,39,3,1
Медведково,1500,-,-,65,166,40,3,0
Домодедово,-,6000,10000,48,155,21,5,0
Подольск,2500,5000,15000,47,170,23,2,0
Люберцы,4000,8000,20000,55,170,27,2,0
Войковская,3000,6000,18000,52,165,19,3,0
Алексеевская,3500,-,-,80,177,38,6,2000
Войковская,3000,6000,18000,50,163,21,3,0
Сокольники,2000,6000,12000,60,173,28,3,0
Новые Черемушки,4000,8000,25000,53,165,27,3,0
Реутов,3500,5000,8000,48,168,19,2,0
Ломоносовский проспект,5000,10000,25000,50,170,20,1,0
Люберцы,3500,7000,15000,45,165,29,3,1
Войковская,3000,6000,18000,65,167,29,4,1
Пушкино,3000,6000,18000,53,176,21,1,0
Молодежная,1500,3000,8000,56,172,47,2,0
Выхино,3500,5000,8000,48,170,21,2,0
Выхино,2000,4000,12000,55,170,30,1,0
Кузьминки,1500,3000,9500,84,168,34,5,0
Химки,6000,12000,40000,49,155,25,2,5000
Пражская,6000,10000,-,71,163,35,4,0
Улица 1905 го1,4000,7000,12000,49,155,39,2,0
Первомайская,3000,5000,-,70,172,38,4,0
Коломенская,5000,10000,-,85,165,52,4,0
Пролетарская,2000,4000,12000,48,168,25,1,0
Люблино,3000,6000,15000,62,165,47,3,1500
Войковская,5000,10000,25000,60,180,26,2,0
Отрадное,3000,6000,18000,63,167,25,1,0
ВДНХ,2100,4100,10000,53,166,24,2,0
Люберцы,1500,3000,9000,65,168,30,3,0
Пролетарская,2000,4000,12000,49,165,26,1,0
Добрынинская,1500,3000,6000,59,165,44,2,0
Серпуховская,1500,3000,6000,60,173,44,2,0
Молодежная,20000,40000,80000,n/a,170,35,5,1
Реутов,3000,6000,15000,48,166,21,2,0
Маяковская,5000,8000,20000,47,160,29,1,0
Подольск,4000,8000,-,59,164,26,2,0
Преображенская площадь,3000,6000,18000,54,160,19,2,0
Парк Победы,5000,8000,-,47,156,26,1,1
Молодежная,1500,3000,-,60,165,45,5,0
Балашиха,3000,6000,12000,40,155,39,2,0
Домодедовская,3000,6000,18000,52,170,34,3,0
Белорусская,3000,-,-,50,160,24,3,1000
Белорусская,3000,-,-,58,157,38,2,1000
Дмитровская,2500,5000,12500,53,167,26,2,1
Дмитровская,2500,5000,14500,65,175,25,3,0
Кантемировская,2000,4000,12000,58,176,35,1,0
Молодежная,2500,5000,15000,55,165,29,2,0
Багратионовская,5000,10000,20000,57,173,19,2,0
Химки,7000,10000,-,52,170,32,1,0
Люблино,2500,5000,-,55,169,30,2,0
Коньково,4000,8000,20000,50,170,27,2,0
Войковская,3000,6000,18000,57,170,18,3,1
Новокосино,2000,4000,10000,68,168,38,3,0
Митино,5000,10000,25000,52,168,24,2,0
Профсоюзная,5000,10000,25000,47,170,22,1,0
Кунцевская,4000,7000,25000,60,170,39,3,1000
Молодежная,3000,6000,-,70,165,42,5,0
Проспект Мира,3000,-,-,59,170,48,4,0
Железнодорожный,3500,6000,-,60,170,42,5,0
Медведково,3500,6000,12000,66,170,29,2,0
Ногинск,3000,6000,18000,59,167,24,1,0
Подольск,4000,8000,15000,50,170,27,1,0
Ботанический сад,3500,-,-,58,167,45,2,0
Кузьминки,-,7000,15000,48,167,24,2,0
Медведково,3500,7000,20000,53,166,25,2,0
Щукинская,5000,10000,25000,80,165,25,6,0
Братиславская,3500,7000,20000,53,167,25,2,0
ВДНХ,4000,8000,15000,50,175,28,2,0
Молодежная,2000,4000,15000,55,165,26,1,0
Марьино,3500,7000,20000,53,167,30,2,0
Белорусская,4000,7000,18000,69,165,33,6,0
Молодежная,2500,5000,15000,60,168,25,1,0
Алтуфьево,2000,4000,10000,65,175,37,4,0
Подольск,2500,5000,14000,51,166,19,2,0
Пушкино,3000,6000,20000,63,172,19,4,0
Домодедовская,4000,8000,18000,62,170,29,3,1
Кантемировская,3000,6000,15000,57,170,29,2,1
Таганская,10000,20000,70000,51,165,35,3,5000
Подольск,-,7000,12000,42,160,21,1,0
Улица Ак. Янгеля,2000,4000,10000,55,165,38,2,1500
Новокузнецкая,10000,16000,40000,50,170,20,2,1
Лермонтовский проспект,6000,10000,25000,58,170,23,3,5000
Крылатское,10000,20000,50000,67,167,43,5,3000
Студенческая,3000,6000,15000,52,161,30,3,2000
Люберцы,3000,6000,16000,76,173,39,3,2000
Молодежная,2500,5000,15000,48,165,24,1,0
Раменское,-,10000,25000,73,166,40,5,2000
Кузьминки,2000,3000,10000,80,165,51,4,1
Молодежная,2000,4000,11000,61,166,38,3,1
Молодежная,2500,5000,15000,57,170,26,1,0
Университет,2300,4600,-,54,166,28,2,0
Университет,2300,4600,-,60,170,31,2,0
Подольск,2000,4000,-,69,165,27,2,0
Багратионовская,5000,10000,25000,90,168,46,5,0
Мытищи,2000,3000,5000,69,174,32,3,1
Авиамоторная,2500,4500,10000,49,147,51,2,1000
Ногинск,2500,5000,10000,57,156,21,4,0
Аэропорт,10000,15000,50000,80,175,31,4,1
Белорусская,3000,6000,15000,75,165,27,5,0
Люберцы,3000,6000,15000,53,160,36,2,0
,-,9500,19500,48,162,23,2,0
Академическая,3500,7000,15000,48,165,28,3,1
Беговая,3000,6000,15000,42,160,25,1,0
Выхино,2500,4000,10000,46,160,35,1,0
Ломоносовский проспект,6000,12000,30000,54,175,26,2,0
Щелковская,2000,3000,15000,100,161,33,3,1000
Профсоюзная,5000,10000,30000,38,153,21,1,5000
Подольск,-,7000,12000,60,178,22,2,0
Бауманская,3000,6000,-,85,170,29,4,0
Подольск,3000,5000,13000,52,168,21,2,0
Ясенево,2500,5000,-,60,156,30,3,0
Братиславская,4000,8000,20000,52,166,21,2,0
Люберцы,3000,6000,12000,58,168,40,3,0
Подольск,2500,5000,12000,58,162,27,3,2000
Отрадное,2000,4000,10000,54,156,35,2,0
Мытищи,5000,8000,15000,50,170,25,1,4000
ВДНХ,1500,2500,-,65,170,58,3,1
Кунцевская,2000,-,-,58,170,50,3,0
Царицыно,6000,8000,16000,52,170,23,2,0
Рязанский проспект,1500,3000,-,90,160,55,6,0
Академическая,4000,7000,20000,50,160,22,2,3000
Подольск,3000,-,-,52,165,32,2,0
Медведково,7000,12000,35000,57,170,37,3,1
Перово,2500,5000,10000,55,165,31,3,0
Рязанский проспект,2500,5000,12000,60,164,26,4,1
Южная,1900,3500,9000,59,157,20,2,0
Новокосино,2500,5000,10000,60,165,31,2,1
Беляево,1500,3000,8000,85,160,26,4,0
Беляево,1500,3000,8000,60,170,23,3,0
Красногорск,2000,4000,13000,53,165,26,2,0
Отрадное,7000,11000,25000,58,170,36,2,1
Каховская,2000,4000,10000,72,163,51,6,1500
Проспект Вернадского,2000,4000,12000,60,168,32,3,1
Долгопрудный,5000,10000,25000,60,167,35,3,0
Петровско-Разумовская,3000,5000,10000,75,150,65,4,1
Бульвар Дмитрия Донского,3000,6000,-,71,175,48,3,0
,-,7500,15000,48,167,20,2,1
Каховская,1500,3000,8000,68,160,39,5,1000
Тульская,2000,4000,8000,47,163,30,2,0
Бибирево,5000,10000,-,63,160,19,1,1
Коньково,5000,10000,25000,49,165,22,1,0
Люблино,4000,8000,20000,55,172,26,2,0
Новогиреево,2500,5000,12000,55,175,41,2,1
Царицыно,3000,6000,15000,85,178,49,5,0
Шоссе энтузиастов,4000,8000,20000,46,164,19,1,0
Киевская,2500,4000,10000,63,170,29,4,1
Пражская,2000,4000,10000,60,170,20,3,0
Алексеевская,4000,8000,16000,54,183,23,3,2000
Кутузовская,7000,12000,25000,48,157,21,2,0
Полежаевская,3500,7000,22000,80,170,29,4,1
Выхино,2000,4000,-,71,176,25,5,0
Подольск,4000,8000,20000,53,168,27,2,0
Новогиреево,2500,4000,-,65,170,37,2,0
Электросталь,3500,5500,15000,57,172,34,2,2000
Университет,2300,4600,-,60,170,29,3,0
Университет,2300,4600,10000,60,172,30,3,0
Университет,2300,4600,-,62,168,36,3,0
Бауманская,4000,8000,20000,50,165,26,2,0
Тульская,2000,4000,8000,53,167,20,4,0
Тульская,2000,4000,8000,70,180,40,4,1
Тульская,2000,4000,8000,40,155,19,2,0
Тульская,2000,4000,8000,62,170,37,4,1
Войковская,8000,15000,40000,55,170,45,2,0
Октябрьское поле,6000,12000,25000,50,160,25,2,3000
Сокольники,6000,9000,21000,48,165,25,1,0
Новогиреево,2500,4000,-,70,175,30,3,0
Шипиловская,2000,4000,8000,65,170,22,3,0
Выхино,2000,4000,12000,49,170,22,2,0
Щёлково,3000,6000,15000,67,167,29,3,0
Коломенская,2000,4000,10000,68,160,63,4,0
Котельники,4000,8000,20000,53,165,21,4,3000
Подольск,3000,6000,10000,50,165,25,4,1
Октябрьская,5000,10000,30000,50,160,23,2,2000
Щукинская,5000,10000,20000,55,171,38,4,0
Киевская,4000,8000,-,50,170,37,2,2000
Дубровка,8000,12000,-,55,165,18,3,0
Подольск,3000,6000,-,62,170,26,3,1
Реутов,2000,4000,10000,75,172,27,6,0
Проспект Мира,1500,3000,8000,75,170,35,5,0
Проспект Мира,1500,3000,8000,48,170,38,1,0
Мытищи,3000,6000,12000,61,173,29,3,1
Аэропорт,3000,6000,-,55,171,19,2,0
Выхино,2000,4000,12000,49,175,20,3,0
Выхино,2000,4000,12000,48,167,19,2,0
Щербинка,-,7000,15000,42,168,23,3,0
Проспект Вернадского,-,7000,15000,47,155,23,2,0
Улица 1905 го1,6000,12000,-,n/a,165,27,2,0
Новогиреево,4000,8000,20000,45,163,18,1,0
Крылатское,7000,13000,-,53,165,25,2,0
Ленинский проспект,5000,10000,60000,67,175,30,3,1
Щербинка,-,6000,15000,70,180,35,3,0
Молодежная,6000,12000,-,48,165,22,2,1
Войковская,2000,4000,-,55,165,31,3,0
Андроновка,20000,30000,100000,42,160,30,2,0
Сухаревская,2000,4000,15000,54,162,20,3,0
Домодедовская,3500,7000,15000,75,170,28,2,2000
Коломенская,3000,6000,15000,55,164,30,2,0
Кантемировская,-,6000,12000,67,175,27,2,0
Одинцово,10000,20000,55000,52,168,30,2,5000
Таганская,6000,12000,-,52,160,35,2,0
Юго-Западная,4000,8000,30000,52,178,27,3,3000
Динамо,3000,6000,15000,65,160,25,3,1000
Рижская,1500,3000,8000,52,165,36,4,0
Рижская,1500,3000,8000,56,167,36,3,0
Выхино,3500,5000,8000,50,165,20,3,0
Люблино,3500,5000,8000,49,167,20,2,0
Подольск,2500,5000,10000,80,170,52,5,0
Войковская,6000,12000,30000,52,163,30,2,0
Сокол,5000,8000,25000,55,171,37,2,2000
Шаболовская,3000,5000,15000,70,170,37,5,2000
Орехово-Зуево,2000,-,-,60,165,38,4,0
Щелковская,2500,5000,15000,44,155,30,2,0
Октябрьское поле,4000,8000,20000,50,160,32,2,0
Щелковская,3000,6000,15000,45,165,20,2,0
Митино,4000,8000,12000,50,170,21,2,0
Волжская,3000,6000,15000,58,170,25,3,0
Каховская,2000,4000,10000,85,168,45,4,0
Каховская,4000,8000,-,75,165,52,4,0
Варшавская,2000,4000,-,80,175,48,4,0
Кузьминки,2000,4000,10000,44,165,32,1,1
Реутов,2000,4000,12000,55,165,33,2,1
Южная,2000,4000,-,54,156,45,2,0
Университет,2300,4600,-,65,170,27,3,0
Войковская,5000,10000,25000,48,158,24,1,0
Мытищи,3000,6000,16000,49,165,34,3,0
Университет,2300,4600,-,50,166,25,2,0
Павелецкая,5000,10000,-,62,168,39,4,1
Выхино,2500,4000,-,56,167,33,2,0
Новокосино,3500,7000,14000,55,173,25,2,0
Алексеевская,5000,10000,25000,60,167,28,2,1
Полежаевская,3000,6000,12000,69,160,25,4,1
Кузьминки,2000,4000,-,60,165,45,2,1
Петровско-Разумовская,5000,10000,-,58,172,38,2,1
Щёлково,3000,6000,18000,55,168,23,3,0
Минская,7000,15000,-,53,156,33,2,0
Проспект Вернадского,2000,-,-,65,167,50,3,0
Химки,3000,6000,12000,64,164,31,3,0
Калужская,4000,8000,20000,58,168,35,2,0
Ленинский проспект,2500,5000,15000,58,172,34,2,0
Ленинский проспект,2500,5000,15000,63,168,33,3,1
Ленинский проспект,2500,5000,15000,57,171,38,2,1
Октябрьское поле,4000,7000,15000,55,165,42,2,2000
Черкизовская,4000,9000,25000,79,170,28,5,0
Выхино,3500,7000,17000,55,165,20,4,2500
Улица Ак. Янгеля,1500,3000,-,70,160,46,4,1000
Подольск,2000,4000,-,60,165,28,3,1
Марьино,3500,7000,20000,40,160,27,1,0
Планерная,2000,4000,15000,58,164,22,2,2000
Молодежная,1500,3000,6000,62,170,37,2,0
Люблино,2500,5000,-,52,178,20,2,0
Университет,2300,4600,-,55,166,27,2,0
Павелецкая,10000,15000,80000,40,170,23,1,1
Щелковская,2500,5000,-,60,167,33,3,1
Юго-Западная,3000,6000,20000,59,170,35,2,2000
Академическая,5000,15000,-,45,167,23,1,1
Подольск,2000,4000,12000,62,168,35,2,0
Химки,3000,6000,15000,75,165,53,4,0
Подольск,3500,7000,13000,52,165,29,2,0
Сухаревская,15000,25000,-,48,160,30,3,0
Проспект Вернадского,2500,5000,-,55,165,33,2,0
Ясенево,2300,4600,-,54,166,43,2,0
Подольск,2500,5000,-,47,160,29,2,0
Царицыно,3000,5000,15000,59,165,35,2,0
Подольск,-,6000,10000,50,158,30,2,0
Братиславская,5000,10000,25000,55,170,25,3,3000
Бауманская,4000,7000,14000,45,160,24,2,0
Щёлково,3000,6000,15000,52,161,21,2,0
Войковская,2500,5000,10000,60,166,39,3,0
Петровско-Разумовская,-,10000,30000,47,157,24,1,0
Отрадное,2000,4000,10000,65,160,46,4,1
Выхино,2500,4000,10000,75,175,30,2,0
Подольск,3000,5000,12000,54,167,22,2,0
Академическая,6000,12000,-,65,170,36,4,0
Кунцевская,3000,6000,12000,57,170,35,3,0
Славянский бульвар,2500,5000,-,98,165,67,4,0
Варшавская,3000,5000,15000,63,168,30,3,0
Одинцово,3000,6000,12000,59,162,24,2,0
Преображенская площадь,2000,4000,8000,42,170,19,1,0
Каширская,-,7000,15000,58,168,35,4,0
Пушкинская,5000,10000,-,58,160,22,3,0
Алексеевская,2000,4000,10000,75,165,35,4,2000
Преображенская площадь,5000,10000,20000,58,169,36,3,0
Петровско-Разумовская,2500,5000,14000,52,165,35,3,0
Ленинский проспект,6000,12000,25000,48,167,29,2,1
Кунцевская,2000,4000,10000,60,165,37,3,1
Подольск,3000,5000,10000,56,161,29,2,3000
Подольск,3000,6000,10000,47,152,23,1,0
Подольск,4000,8000,15000,55,172,27,3,5000
Подольск,3000,6000,10000,54,167,23,2,3000
Подольск,3000,5000,10000,78,180,28,3,0
Румянцево,3000,6000,12000,52,164,30,1,0
Новокосино,5000,10000,20000,55,168,33,3,0
Отрадное,1500,3000,-,60,163,40,3,1
Алексеевская,2000,4000,10000,70,170,25,3,1500
Подольск,-,7000,12000,44,154,21,1,0
Алексеевская,2500,5000,10000,50,172,24,2,0
Щелковская,3000,6000,-,56,166,33,2,1
Королёв,3000,6000,-,60,170,29,3,2500
Щелковская,1800,-,-,65,168,32,2,0
Троицк,10000,10000,15000,40,150,23,2,1
Кунцевская,10000,15000,-,67,178,25,4,5000
Алексеевская,3000,6000,12000,50,172,32,2,0
Алексеевская,2500,5000,12000,75,168,42,4,1
Электросталь,2000,3500,8000,63,173,41,2,1000
Теплый стан,2500,5000,15000,55,170,35,2,2000
Люберцы,3000,5000,-,65,160,35,4,0
Кунцевская,5000,7000,15000,88,178,24,3,4000
Мытищи,10000,20000,50000,63,167,23,4,10000
Домодедово,4000,6000,12000,70,165,25,3,0
Митино,3000,7000,15000,55,177,22,2,1
Митино,4000,8000,-,53,177,21,3,1
Молодежная,1500,-,-,75,172,39,3,0
Щукинская,2500,5000,20000,70,165,30,5,5000
Щелковская,3000,6000,15000,52,172,34,2,1
Ленинский проспект,2500,5000,15000,58,170,33,3,0
Новогиреево,2500,5000,12000,76,170,36,5,1
Новогиреево,2500,5000,12000,54,168,36,2,1
Новогиреево,2500,5000,12000,56,172,39,2,1
Измайловская,2500,5000,-,57,166,45,2,3000
Медведково,3000,6000,15000,60,158,37,2,2000
Балашиха,5000,10000,20000,50,156,18,3,0
Домодедово,2000,4000,8000,68,170,23,3,0
Чертановская,6000,10000,30000,59,172,30,2,10000
Академическая,3000,4500,8000,49,152,20,5,0
Октябрьская,6000,8000,20000,53,170,23,3,0
Ясенево,2300,4600,-,56,163,34,2,0
Пушкино,3000,6000,15000,67,166,22,2,0
ВДНХ,-,10000,20000,50,170,24,2,5000
Марьина Роща,5000,10000,25000,56,170,35,4,2000
Домодедовская,3500,6000,15000,49,155,27,2,1
Аэропорт,5000,10000,20000,58,175,25,3,0
Аэропорт,5000,10000,20000,55,168,25,1,0
Октябрьское поле,3000,6000,20000,n/a,167,42,5,0
Подольск,2000,4000,10000,n/a,175,38,4,1500
Профсоюзная,6000,12000,45000,50,158,21,3,0
Митино,5000,10000,25000,47,165,23,1,0
Пионерская,2000,4000,12000,n/a,170,42,4,0
Подольск,2000,4000,10000,70,179,27,3,0
Подольск,2000,4000,12000,56,168,24,2,2000
Подольск,2000,4000,12000,54,167,24,2,2000
Подольск,3000,5000,15000,40,152,21,1,1
Подольск,2000,4000,12000,60,173,23,2,1
Подольск,3000,5000,12000,40,155,24,1,0
Подольск,3000,6000,15000,65,169,26,2,1
Бауманская,8000,15000,-,85,170,28,4,0
Подольск,2000,4000,12000,52,169,24,2,2000
Киевская,7000,14000,35000,50,153,29,2,1
Выставочная,7000,10000,30000,51,168,23,2,0
Подольск,2500,5000,12000,56,165,36,3,1000
Перово,6000,12000,30000,58,165,30,4,0
ВДНХ,3000,6000,20000,60,165,40,3,0
Свиблово,6000,10000,25000,56,170,25,2,5000
Подольск,3000,5000,10000,55,163,28,2,0
Кунцевская,2500,5000,12000,55,165,40,3,0
Проспект Мира,10000,20000,70000,50,165,32,3,1
Пражская,2500,5000,-,70,172,33,5,0
Киевская,10000,20000,40000,45,167,18,2,0
Медведково,3000,6000,15000,60,160,38,2,2000
Кунцевская,1500,3000,8000,60,165,26,3,1
Кунцевская,2500,5000,12000,65,170,32,3,0
Химки,4000,8000,20000,53,157,34,1,0
Подольск,3000,6000,10000,48,165,30,1,0
Октябрьское поле,2500,5000,-,62,162,32,4,0
Кузьминки,2500,-,-,130,180,45,5,1000
Раменское,3000,6000,20000,55,156,26,1,0
Подольск,2000,4000,6000,59,158,37,2,2000
Выхино,10000,15000,30000,37,167,19,1,1
Университет,5000,10000,25000,52,178,19,2,0
Щукинская,7000,10000,25000,55,163,20,2,0
Академическая,7000,14000,35000,48,169,19,2,0
ВДНХ,5000,10000,-,54,169,35,1,0
Смоленская,10000,20000,60000,51,160,21,2,1
Боровицкая,5000,10000,-,67,179,48,2,1
Авиамоторная,6000,8000,20000,55,170,18,3,5000
Реутов,2500,5000,12000,62,169,29,2,1
Первомайская,5000,8000,-,70,165,36,4,0
Рязанский проспект,2500,5000,12000,55,165,49,2,5000
Новокосино,2500,5000,12000,63,170,39,3,1
Университет,2300,4600,-,58,170,34,2,0
Кузьминки,5000,10000,30000,52,170,29,2,0
Химки,-,7000,-,53,170,24,2,1
Кузьминки,3000,6000,15000,56,168,32,2,0
Измайлово,3000,6000,15000,60,157,20,2,0
Люблино,2500,5000,-,51,165,22,2,1
Парк Победы,5000,10000,25000,50,170,34,2,1
Киевская,10000,15000,40000,47,167,24,2,0
Домодедовская,2500,5000,12000,65,165,30,2,0
Выхино,4000,8000,20000,65,175,21,2,3000
Новогиреево,2000,4000,-,75,167,40,2,0
Авиамоторная,5000,10000,-,58,170,24,3,0
Ленинский проспект,2500,5000,15000,55,170,19,3,0
Царицыно,2500,5000,12000,53,167,35,2,0
Новогиреево,6000,9000,25000,40,163,19,1,0
Петровско-Разумовская,-,8000,15000,50,160,22,2,1
Домодедовская,4000,8000,18000,48,168,28,1,0
Одинцово,7000,15000,-,54,166,26,2,0
Аэропорт,5000,10000,20000,55,165,30,2,0
Мытищи,2500,5000,15000,200,170,40,12,0
Крылатское,4000,8000,20000,48,167,30,1,0
Динамо,3000,4000,8000,62,179,21,2,0
Измайловская,3000,5000,20000,55,172,32,2,2000
Люберцы,4000,8000,25000,55,172,23,2,2
Кутузовская,3000,6000,15000,63,160,35,3,2000
Беговая,3000,6000,15000,61,158,35,3,1
Войковская,3500,6000,-,58,170,34,3,0
Новокосино,5000,8000,16000,60,175,24,1,0
Звенигород,10000,15000,30000,55,170,23,2,0
Ногинск,3000,6000,15000,65,176,25,2,0
Кунцевская,2000,4000,10000,62,167,41,4,1500
Марьино,3500,7000,20000,50,171,30,2,0
Марьина Роща,2500,5000,12500,110,182,39,7,1
Щелковская,2500,5000,15000,75,172,34,5,1
Аэропорт,3000,6000,18000,58,170,37,2,1
Ногинск,2500,5000,12000,59,166,36,2,0
Новогиреево,2500,5000,12000,68,172,34,4,1
Отрадное,2000,4000,-,70,160,45,5,0
Полежаевская,3000,6000,20000,77,170,27,4,3000
,-,10000,25000,40,168,20,2,0
,5000,8000,18000,65,170,26,3,0
Войковская,2000,4000,10000,52,170,19,2,0
Новогиреево,2000,4000,12000,76,170,33,4,1
Водный стадион,3000,5000,-,55,166,50,3,1000
Щелковская,5000,-,-,48,167,26,1,3000
Речной вокзал,2000,3500,8000,90,165,46,4,1
Подольск,2500,5000,12000,n/a,165,25,3,1000
ВДНХ,3000,5000,-,62,170,46,3,0
Подольск,3000,5000,12000,62,162,21,2,2000
Марьино,4000,8000,20000,53,168,24,2,0
Пражская,5000,7000,16000,49,155,25,3,0
Жулебино,5000,8000,25000,65,170,25,3,1
Подольск,2000,4000,10000,58,162,35,2,0
Аэропорт,5000,10000,20000,60,164,24,3,0
Коньково,5000,10000,25000,56,170,30,3,0
Алтуфьево,-,7000,12000,54,163,38,2,0
Сходненская,2500,5000,12000,50,168,36,3,2000
Киевская,5000,10000,20000,84,175,24,5,0
Коломенская,-,8000,16000,56,173,28,3,0
Подольск,2000,4000,-,58,158,40,3,0
Марьино,4000,8000,20000,54,173,25,2,0
Беговая,5000,8000,20000,48,160,28,1,0
Новогиреево,3000,6000,15000,75,170,41,4,1
Щелковская,3000,6000,15000,63,168,41,4,1
Автозаводская,5000,10000,30000,55,168,27,2,1
Молодежная,5000,10000,18000,47,173,19,1,5000
Реутов,2500,5000,12000,59,170,32,2,1
Проспект Вернадского,3000,6000,-,70,170,40,4,0
Александровский сад,7000,12000,30000,45,170,21,2,5000
Университет,2300,4600,-,64,168,45,3,0
Царицыно,2000,4000,11000,54,166,30,3,0
Домодедовская,5000,8000,25000,54,172,27,2,0
Клин,3000,6000,15000,50,165,30,2,0
Аннино,3000,5000,12000,60,170,34,3,0
Химки,3000,6000,15000,50,160,38,1,0
Царицыно,3000,4500,8000,60,175,20,4,0
Беговая,2000,4000,15000,51,170,27,2,0
Подольск,2000,4000,10000,80,178,39,7,0
Сходненская,3000,6000,15000,85,172,35,6,0
Орехово,3000,6000,15000,46,167,28,2,0
Сходненская,2500,5000,15000,75,180,35,5,3000
Коньково,2000,4000,12000,80,168,41,4,0
Красногорск,3000,6000,18000,55,163,21,3,0
Новогиреево,-,4500,9000,57,170,22,2,0
Коньково,2000,4000,10000,60,167,40,2,1000
,-,5000,10000,60,170,28,2,0
Щелковская,2000,4000,-,57,170,32,4,1
Ясенево,2300,4600,-,64,170,35,3,0
Домодедовская,5000,10000,25000,56,165,21,2,0
Маяковская,8000,15000,30000,52,175,28,2,0
Павелецкая,4000,8000,-,53,167,24,2,0
Подольск,2000,4000,12000,53,164,32,2,1
Проспект Вернадского,3500,7000,-,45,155,25,1,0
Мытищи,2500,5000,12000,48,160,39,1,1
